T,Energy,Energy_SEM,Magnetization,Magnetization_SEM,Acceptance,Acceptance_SEM,Energy2,Energy2_SEM,Magnetization2,Magnetization2_SEM,SpecificHeat,MagneticSusceptibility
3,-0.8194736328125,0.0011429857462664208,-0.0040734863281250006,0.0063095495509715455,0.5496065238866611,0.00003370985796050467,0.6724282684326172,0.0018791869750292634,0.0029682413339614873,0.00017587400419885631,0.00009902595085568382,0.000983882681032022
2.8,-0.9085830078124999,0.0018090391067992952,0.01944091796875,0.008349833124743246,0.5477635506186129,0.000049646678115624334,0.8265075063705444,0.0032811173632851577,0.003972097158432007,0.0005861214547278651,0.00012556432205805746,0.0012836242382015502
2.6,-1.02634619140625,0.003975895916841936,0.0233984375,0.021790615107168766,0.5451907987399883,0.00006839355035067799,1.054646218776703,0.00819375260321621,0.011815931320190428,0.0021789491232340353,0.0001863482489035945,0.004334017093365008
2.4,-1.2018173828124998,0.00391585524385184,0.167186279296875,0.013602239353094155,0.5416834599326855,0.0000933014263730531,1.4457630605697633,0.00938948899891882,0.03359474670886994,0.00436441412763309,0.00024271509365912197,0.0023514561348905194
2.2,-1.55533642578125,0.005438748422445792,0.80303515625,0.0057253252886515895,0.5366275743782272,0.00013859881840218652,2.420655063152313,0.016887223996702307,0.6458685567378997,0.009142272323320216,0.00032720367568574144,0.00045595207474445994
2,-1.7438896484375,0.0016484321774943714,0.9104531249999999,0.0013365967757882904,0.5305571156460189,0.00015880886855679655,3.0418863563537597,0.005717049937845966,0.8291502063274384,0.0024095845101775493,0.000183812606573186,0.0001126567525865374
1.8,-1.8607197265624997,0.0007972498591731854,0.9574562988281249,0.0003893811755356534,0.5240761692831246,0.0001678282304502249,3.4626035633087158,0.002957748076632013,0.9167685643434524,0.0007426599386097802,0.00010051311416418661,0.00002555565433381979
1.6,-1.92733837890625,0.0004199919602215093,0.9793491210937499,0.0001363687449278642,0.5174549975763785,0.0001703992651907175,3.7148064942359924,0.001618274315554393,0.9591423721313477,0.00026680500815449293,0.00006768259024261118,0.00001104446515451385
1.4,-1.9680795898437498,0.0002534203678083683,0.9914150390625001,0.0000761391593906332,0.5108382846702392,0.00016992402658974585,3.8734062733650205,0.000996905047877135,0.9829093902111052,0.0001509198012109369,0.00003520479871340564,0.000004007522719070726
1.2,-1.9886987304687502,0.000093745549414201,0.9970541992187499,0.000024127221197945012,0.50430853154522,0.0001674129778745272,3.9549470639228828,0.00037248539155190866,0.9941188528537751,0.000048088905824391065,0.000016960663099900113,0.000001480561693708212
1,-1.9972109374999998,0.0001184357349596415,0.999290283203125,0.000029903090833303174,0.49791045015611235,0.0001639218455014115,3.988857127189636,0.00047274116391687746,0.9985814410448073,0.000059741725561075017,0.000005598320008015634,3.709406255492098e-7
0.8,-1.9996323242187497,0.000027999002302650147,0.999907470703125,0.0000069949591061092,0.4916621308012852,0.00016003155280196497,3.9985301594734195,0.00011192881115060508,0.9998149966001509,0.000013985660738666006,0.0000011365827196074816,5.82902875967406e-8
0.6,-1.9999912109375,0.0000032241355506258135,0.9999978027343751,8.060338876603204e-7,0.48556669823459264,0.00015611576243358813,3.999964860916138,0.000012890245062750068,0.9999956065416334,0.0000016116742040804342,4.746913973008304e-8,1.780091999729431e-9
0.4,-2,0,1,0,0.4796203682138994,0.000152316359206303,4,0,1,0,0,0
0.2,-2,0,1,0,0.47381791113586463,0.00014865319903019982,4,0,1,0,0,0
